"CIF_ID","TRAN_DATE_BAL"
"0125271",91146.21
"0173858",139.34
"0174755",64.25
"0174755",4464.25
"0326228",230166
"0112297",8270.54
"0112297",15992.4
"0197473",102.4
"0270175",16662.14
"0325051",48292
"0179995",1356.9315
"0161921",133.89
"0187868",32975.46
"0041210",5416.84
"0041210",6416.84
"0227775",2722.55
"0179995",5702.98
"0283166",10200.76
"0167758",3401.67
"0187868",1080.46
"0227775",422.55
"0283166",5200.76
"0112297",98070.54
"0125271",102146.21
"0270175",38662.14
"0270175",56358.14
"0179995",4467.1
"0112297",87998.54
"0125271",85646.21
"0325051",55187
"0325051",68202
"0040097",55764.42
"0322673",425
"0325051",68202
"0179995",1455.69
"0167758",34.67
"0318526",258274.86
"0116457",51246.90933345
"0325051",191202
"0179995",11068.33
"0270175",400548.42
"0127024",2039.35
"0173031",92000
"0173031",7.38
"0152938",9422.73
"0325051",80202
"0152938",65906.9
"0326228",200166
"0187868",31975.46
"0318526",233274.86
"0040097",27545.42
"0165543",901.2
"0152938",90442.9
"0152938",74906.9
"0318526",191274.86
"0187868",2080.46
"0127024",975.35
"0227775",2522.55
"0112297",1332.4
"0152938",11872.63
"0117222",1613855.24
"0117222",1754624.84
"0117222",1754624.84
"0171349",5628.43
"0154220",17933.2
"0292804",245.81
"0116457",798.8326104
"0181795",5905.7
"0179995",845.24
"0318526",268274.86
"0177569",204412
"0177569",209448
"0116457",2510.05
"0325051",70202
"0320628",1.2
"0189496",7646.49
"0123242",2598.01
"0187868",8537.46
"0187868",23075.46
"0175128",41243.32
"0175128",1255.32
"0040097",27433.91
"0181795",4433.7
"0049938",2013.81
"0179995",278.074
"0227775",1022.55
"0127024",15558.35
"0179995",8036.15
"0161921",2333.89
"0041210",2716.84
"0041210",4416.84
"0116457",6541.67473236
"0152938",13622.63
"0165543",20407.2
"0322673",10461
"0285532",89
"0177523",21812
"0152938",11422.73
"0187868",32475.46
"0167758",1870.67
"0270175",548.42
"0270175",300548.42
"0325051",13307
"0112297",168318.54
"0325051",9307
"0318526",218274.86
"0318526",191274.86
"0125271",93146.21
"0325051",83202
"0152938",59891.9
"0125271",72646.21
"0325051",30307
"0325051",9307
"0127024",12575.35
"0318526",230074.86
"0125271",70146.21
"0112297",78498.54
"0189096",1208.2
"0125271",82646.21
"0187868",37975.46
"0187868",23075.46
"0103572",25002.03
"0227775",633.55
"0152938",12572.63
"0152938",13622.63
"0059993",198707.81
"0059993",133650.81
"0152938",8822.73
"0152938",9422.73
"0152938",51841.9
"0152938",93972.9
"0152938",100998.9
"0326228",220232
"0165543",865.2
"0227775",4222.55
"0270175",247895.42
"0112297",97129.54
"0112297",168318.54
"0308007",33.38
"0283166",2098.76
"0181795",8769.7
"0152938",88942.9
"0044826",194.7
"0167758",1965.67
"0112297",15992.4
"0270175",250548.42
"0127024",36169.35
"0152938",100998.9
"0016917",288550.17
"0107228",109493.32
"0187868",25105.46
"0187868",43080.46
"0055422",190054.19
"0055422",204060.19
"0127024",678.35
"0179995",7425.47
"0179995",8036.15
"0041210",4416.84
"0075122",336.68
"0181795",4869.7
"0187868",43080.46
"0123242",20306.01
"0177391",41776.58
"0160462",173.23
"0160462",10593.23
"0161921",14721.89
