"CIF_ID","ACID","SCHM_CODE","ACCT_OPN_DATE"
"0138922",IM21326565,LAF02,2019-05-17 00:00:00.000
"0138922",IM21316562,LAF02,2018-10-23 00:00:00.000
"0164232",IM21465988,LAF04,2021-05-17 00:00:00.000
"0043757",IM21329503,LAL01,2019-05-28 00:00:00.000
"0156549",IM21318012,LAL01,2019-03-18 00:00:00.000
"0230134",IM21367816,LAL01,2019-10-29 00:00:00.000
"0043757",IM21329525,LAL01,2019-05-28 00:00:00.000
"0015718",IM21318480,LAL01,2019-04-23 00:00:00.000
"0151283",IM21714271,LAL01,2022-12-10 00:00:00.000
"0151283",IM21381501,LAL01,2019-12-27 00:00:00.000
"0183095",IM21318532,LAL01,2019-04-26 00:00:00.000
"0125271",IM21316861,LAL01,2018-11-26 00:00:00.000
"0180493",IM21377757,LAL01,2019-11-30 00:00:00.000
"0150270",IM21317822,LAL01,2019-02-28 00:00:00.000
"0150586",IM21315113,LAL01,2017-11-13 00:00:00.000
"0147142",IM21316080,LAL01,2018-07-25 00:00:00.000
"0163584",IM21317067,LAL02,2018-12-19 00:00:00.000
"0123242",IM21315096,LAL02,2017-10-25 00:00:00.000
"0033056",IM21313151,LAL02,2012-11-25 00:00:00.000
"0081121",IM21314619,LAL02,2017-04-26 00:00:00.000
"0034247",IM21314893,LAL02,2017-08-29 00:00:00.000
"0034247",IM21367751,LAL02,2019-10-28 00:00:00.000
"0029740",IM21418074,LAL02,2020-08-11 00:00:00.000
"0034247",IM21435905,LAL02,2020-11-17 00:00:00.000
"0042941",IM21646802,LAL02,2022-02-16 00:00:00.000
"0023301",IM21417982,LAL02,2020-08-11 00:00:00.000
"0200849",IM21364544,LAL02,2019-10-15 00:00:00.000
"0201318",IM21367118,LAL02,2019-10-23 00:00:00.000
"0279435",IM21396523,LAL02,2020-03-25 00:00:00.000
"0174110",IM21318348,LAL02,2019-04-11 00:00:00.000
"0174110",IM21427722,LAL02,2020-10-01 00:00:00.000
"0174110",IM21696267,LAL02,2022-09-30 00:00:00.000
"0136180",IM21473617,LAL02,2021-06-30 00:00:00.000
"0278516",IM21432592,LAL02,2020-10-29 00:00:00.000
"0088506",IM21318300,LAL02,2019-04-05 00:00:00.000
"0089222",IM21317683,LAL02,2019-02-20 00:00:00.000
"0082396",IM21315792,LAL02,2018-06-21 00:00:00.000
"0088506",IM21458315,LAL02,2021-03-29 00:00:00.000
"0278060",IM21393030,LAL02,2020-03-04 00:00:00.000
"0278060",IM21750262,LAL02,2023-04-13 00:00:00.000
"0078340",IM21314167,LAL02,2016-11-25 00:00:00.000
"0090090",IM21313650,LAL02,2015-08-12 00:00:00.000
"0090090",IM21318123,LAL02,2019-03-26 00:00:00.000
"0092672",IM21317582,LAL02,2019-02-12 00:00:00.000
"0090090",IM21315725,LAL02,2018-05-30 00:00:00.000
