"CIF_ID","ACID","SCHM_CODE","ACCT_OPN_DATE"
"0097577",IM21047358,CAL25,2014-09-25 00:00:00.000
"0097183",IM21047368,CAL30,2014-09-19 00:00:00.000
"0094340",IM21046891,CAL06,2014-07-23 00:00:00.000
"0049844",IM21047050,CAL03,2014-08-15 00:00:00.000
"0087134",IM21046602,CAL31,2014-01-30 00:00:00.000
"0093878",IM21046908,CAL31,2014-07-14 00:00:00.000
"0088203",IM21046466,CAL06,2014-02-26 00:00:00.000
"0094765",IM21047237,CAL31,2014-08-01 00:00:00.000
"0085268",IM21046051,CAL31,2013-11-25 00:00:00.000
"0093539",IM21046802,CAL06,2014-07-08 00:00:00.000
"0082411",IM21046062,CAL31,2013-08-27 00:00:00.000
"0093296",IM21047124,CAL31,2014-07-02 00:00:00.000
"0088074",IM21046526,CAL31,2014-02-21 00:00:00.000
"0092515",IM21046674,CAL31,2014-06-17 00:00:00.000
"0088113",IM21046390,CAL31,2014-02-24 00:00:00.000
"0075635",IM21046844,CAL31,2014-07-22 00:00:00.000
"0098539",IM21047314,CAL12,2014-10-17 00:00:00.000
"0085156",IM21048215,CAL03,2015-03-18 00:00:00.000
"0067650",IM21048904,CAL30,2012-05-02 00:00:00.000
"0076106",IM21049224,CAL06,2013-03-01 00:00:00.000
"0099911",IM21047590,CAL30,2014-11-17 00:00:00.000
"0101434",IM21047744,CAL31,2014-12-23 00:00:00.000
"0103947",IM21047901,CAL31,2015-02-13 00:00:00.000
"0130692",IM21049821,CAL12,2016-05-09 00:00:00.000
"0029740",IM21043083,CAL23,2015-10-30 00:00:00.000
"0029740",IM21043084,CAL23,2015-10-30 00:00:00.000
"0062370",IM21048602,CAL31,2011-12-06 00:00:00.000
"0007580",IM21047763,CAL19,2015-02-07 00:00:00.000
"0100682",IM21047624,CAL08,2014-12-03 00:00:00.000
"0112655",IM21048425,CAL31,2015-06-18 00:00:00.000
"0101487",IM21047632,CAL06,2014-12-24 00:00:00.000
"0073099",IM21049284,CAL01,2012-11-01 00:00:00.000
"0075993",IM21049621,CAL31,2013-02-26 00:00:00.000
"0070394",IM21049148,CAL08,2012-07-26 00:00:00.000
"0079162",IM21049480,CAL06,2013-06-04 00:00:00.000
"0072447",IM21049169,CAL31,2012-10-05 00:00:00.000
"0112297",IM21048327,CAL31,2015-06-15 00:00:00.000
"0101411",IM21047697,CAL04,2014-12-23 00:00:00.000
"0063604",IM21048708,CAL30,2012-01-26 00:00:00.000
"0064451",IM21048504,CAL31,2012-02-22 00:00:00.000
"0070519",IM21049034,CAL08,2012-07-30 00:00:00.000
"0076613",IM21049686,CAL06,2013-03-28 00:00:00.000
"0069645",IM21049800,CAL19,2016-04-01 00:00:00.000
"0118806",IM21052267,CAL31,2015-09-22 00:00:00.000
"0128601",IM21049875,CAL31,2016-04-04 00:00:00.000
"0152389",IM21051316,CAL31,2017-03-23 00:00:00.000
"0128315",IM21049892,CAL06,2016-03-24 00:00:00.000
"0138065",IM21050532,CAL06,2016-09-09 00:00:00.000
