"CIF_ID","ACID","SCHM_CODE","ACCT_OPN_DATE"
"0025389",IM21047336,CAL19,2014-11-18 00:00:00.000
"0080512",IM21045994,CAL30,2013-07-02 00:00:00.000
"0086971",IM21046307,CAL31,2014-01-24 00:00:00.000
"0097423",IM21047402,CAL31,2014-09-23 00:00:00.000
"0096602",IM21047105,CAL31,2014-09-04 00:00:00.000
"0092517",IM21046673,CAL04,2014-06-17 00:00:00.000
"0099919",IM21047292,CAL06,2014-11-17 00:00:00.000
"0082476",IM21046094,CAL31,2013-08-29 00:00:00.000
"0063251",IM21048589,CAL06,2012-01-12 00:00:00.000
"0067650",IM21048904,CAL30,2012-05-02 00:00:00.000
"0130035",IM21049712,CAL04,2016-04-22 00:00:00.000
"0106758",IM21048070,CAL31,2015-03-23 00:00:00.000
"0007580",IM21047763,CAL19,2015-02-07 00:00:00.000
"0104859",IM21047768,CAL31,2015-02-25 00:00:00.000
"0077921",IM21049596,CAL31,2013-05-08 00:00:00.000
"0087772",IM21047950,CAL31,2015-03-20 00:00:00.000
"0112655",IM21048425,CAL31,2015-06-18 00:00:00.000
"0106692",IM21047951,CAL31,2015-03-20 00:00:00.000
"0106364",IM21048118,CAL31,2015-03-17 00:00:00.000
"0112097",IM21048274,CAL06,2015-06-12 00:00:00.000
"0071411",IM21049290,CAL04,2012-08-31 00:00:00.000
"0044568",IM21048982,CAL31,2012-07-12 00:00:00.000
"0049169",IM21049003,CAL06,2012-10-15 00:00:00.000
"0067980",IM21049161,CAL06,2012-05-14 00:00:00.000
"0131004",IM21049780,CAL19,2016-06-07 00:00:00.000
"0116206",IM21052277,CAL31,2015-08-03 00:00:00.000
"0128601",IM21049875,CAL31,2016-04-04 00:00:00.000
"0155345",IM21050684,CAL31,2017-05-31 00:00:00.000
"0156528",IM21050702,CAL31,2017-06-23 00:00:00.000
"0140405",IM21050707,CAL04,2016-11-04 00:00:00.000
"0141466",IM21050900,CAL31,2016-11-29 00:00:00.000
"0134505",IM21049958,CAL06,2016-07-20 00:00:00.000
"0136079",IM21050275,CAL31,2016-08-15 00:00:00.000
"0144608",IM21050755,CAL31,2017-02-11 00:00:00.000
"0101120",IM21051729,CAL31,2017-03-23 00:00:00.000
"0163304",IM21052227,CAL31,2017-11-24 00:00:00.000
"0115066",IM21052339,CAL30,2015-07-20 00:00:00.000
"0118668",IM21052255,CAL06,2015-09-18 00:00:00.000
"0044568",IM21043331,CAL03,2009-10-31 00:00:00.000
"0060646",IM21044313,CAL06,2011-10-25 00:00:00.000
"0059139",IM21044476,CAL30,2011-09-08 00:00:00.000
"0052786",IM21043695,CAL03,2010-11-26 00:00:00.000
"0050445",IM21043887,CAL31,2010-08-23 00:00:00.000
"0051336",IM21044203,CAL30,2011-09-21 00:00:00.000
"0030105",IM21045008,CAL31,2007-08-06 00:00:00.000
"0079342",IM21045812,CAL06,2013-06-10 00:00:00.000
"0020527",IM21044705,CAL31,2005-03-21 00:00:00.000
"0055679",IM21044093,CAL31,2011-03-24 00:00:00.000
"0041225",IM21045718,CAL31,2009-03-23 00:00:00.000
"0018847",IM21045245,CAL02,2004-08-06 00:00:00.000
"0047386",IM21057185,CAL04,2010-04-15 00:00:00.000
