CIF_ID,CUST_AGE,AGE_WITH_BANK,DIS_AMT,REP_PERD_MTHS,FLOW_AMT,NO_OF_INSTALLMENTS,min_cred_amt_6_months,max_cred_amt_6_months,avg_cred_amt_6_months,median_cred_amt_6_months,avg_monthly_cred_count_6_months,avg_eod_bal_6_months,median_eod_bal_6_months,min_debit_amt_6_months,max_debit_amt_6_months,avg_debit_amt_6_months,median_debit_amt_6_months,avg_monthly_debit_count_6_months,no_of_non_loan_accounts,no_of_loan_accounts,first_otg_trans,number_of_months_active_otg,avg_otg_tran_amt,median_otg_tran_amount,avg_monthly_otg_trans_count,avg_debit_to_credit_amt_ratio,median_debit_to_credit_amt_ratio,DEFAULT_STATUS_ENCODED,number_of_inactive_months_otg,MARITALSTATUS_MARRIED,MARITALSTATUS_SINGLE,SEGMENTATION_CLASS_BL03_OR_BLO5,OTG_TRANSACTING_FLAG,cust_age_19-20,cust_age_21-30,cust_age_31-40,cust_age_41-50,cust_age_51-60,cust_age_61-70,cust_age_71-80,age_with_bank_0-4,age_with_bank_5-8,age_with_bank_9-11,age_with_bank_12-15,first_otg_trans_0-4,first_otg_trans_5-8,first_otg_trans_9-11,first_otg_trans_12-15,no_of_inactive_months_otg_0- <3,no_of_inactive_months_otg_3- <6,no_of_inactive_months_otg_6- <9,no_of_inactive_months_otg_9 - 11
0008264,32,15,669500.0,60,16295.0,1,9.0,669500.0,34701.441860465115,3000.0,6.142857142857143,21332.805616438352,758.89,1.0,312765.0,8437.381666666668,1000.0,23.142857142857142,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2431421063307246,0.3333333333333333,0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0053272,38,12,2000000.0,60,48720.0,1,0.17,2000000.0,97066.64977011492,40000.0,12.428571428571429,56828.881515384615,14000.11,0.03,220000.0,7592.582410196986,1753.0,123.28571428571428,4.0,0.0,0.0,0.0,3770.4754098360654,2155.0,30.5,0.0782202994352711,0.043825,0,0.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0076106,32,10,380700.0,60,9119.0,1,2.0,380700.0,23113.0,8000.0,3.857142857142857,25339.97320754717,19406.34,6.0,34000.0,3582.2714666666666,685.0,10.714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1549894633611676,0.085625,0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0109326,33,8,2000000.0,60,48124.0,1,2.0,2000000.0,91375.67333333334,35.94,8.0,125506.31239690722,0.0,1.0,900000.0,12275.240439024392,19.01,29.285714285714285,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134338166726772,0.5289371174179188,0,0.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0145595,33,6,50000.0,1,50617.0,1,1.0,150000.0,10758.582673992674,5250.0,39.0,8065.292585034013,2014.07,1.0,100000.0,6424.485868131869,4950.0,65.0,2.0,0.0,4.0,4.0,7036.918604651163,5483.5,68.8,0.5971498349556897,0.9428571428571428,0,0.0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0165741,26,5,90000.0,60,2190.0,1,100.0,90000.0,9442.818181818182,4625.0,3.142857142857143,952.6642857142856,616.1,0.04,80000.0,1832.482456140351,200.0,16.285714285714285,3.0,0.0,8.0,7.0,1362.8243243243244,150.0,9.25,0.1940609700257421,0.0432432432432432,0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0183020,41,4,300000.0,12,28219.0,1,12000.0,300000.0,68125.0,39500.0,1.3333333333333333,2338.896666666667,466.66,1.0,150000.0,9511.66037735849,25.0,7.571428571428571,2.0,0.0,2.0,2.0,2020.0,800.0,2.5,0.1396207027869136,0.000632911392405,0,0.0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0181008,30,4,2902000.0,60,69624.0,1,0.5,2902000.0,57943.99324324324,33.0,10.571428571428571,175216.17005988024,2105.0,0.07,600000.0,9492.304716981133,2000.0,45.42857142857143,2.0,0.0,4.0,4.0,4588.15294117647,2000.0,28.33333333333333,0.1638186149362085,60.60606060606061,0,0.0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0278861,39,3,207500.0,60,4997.0,1,10.0,207500.0,13829.25,2536.5,3.4285714285714284,6400.971304347827,104.58,5.0,40000.0,5191.396825396825,50.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3753925068529982,0.0197122018529469,0,0.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0285178,32,2,50000.0,7,7585.0,1,1.0,50000.0,10722.96153846154,61.5,3.7142857142857135,6697.322666666666,1043.2,4.0,16500.0,1495.4926829268293,1000.0,23.428571428571427,2.0,0.0,5.0,0.0,2816.6666666666665,2000.0,6.0,0.1394663850618821,16.260162601626018,0,5.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0289351,41,2,3000000.0,60,72090.0,1,0.32,3000000.0,71932.01791946309,12150.0,21.285714285714285,61188.30802777778,2075.995,0.05,999900.0,42241.65958333333,8000.0,27.428571428571427,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5872441897935932,0.6584362139917695,0,0.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0298286,33,2,160000.0,60,3840.0,1,1.0,160000.0,4163.545151515151,1000.0,9.428571428571429,5902.995319148936,4308.98,6.0,40000.0,2054.098518518518,600.0,11.571428571428571,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933532467567966,0.6,0,0.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0299954,22,2,400000.0,48,11321.0,1,1.0,400000.0,33058.055555555555,11250.0,2.571428571428572,133645.93833333338,106328.45,6.0,17500.0,2883.2272727272725,700.0,5.5,2.0,0.0,0.0,0.0,20.0,20.0,1.0,0.0872170859499548,0.0622222222222222,0,0.0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0310126,52,2,2975.45,1,2975.45,1,140.0,656.93,482.3,649.97,1.0,41102.20333333333,61324.84,140.0,140.0,140.0,140.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2902757619738751,0.2153945566718463,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
